index_img,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,exp_theo,exp_empirical,krr_theo,krr_empirical
0,1,0.000000,0.238,0.000000,0.236,0.000000,0.226,0.000000,0.195
0,2,0.000002,0.352,0.000000,0.326,0.000000,0.250,0.000000,0.215
0,3,0.000556,0.544,0.000016,0.461,0.000000,0.302,0.000000,0.225
0,4,0.012256,0.722,0.000245,0.559,0.000000,0.372,0.000000,0.285
0,5,0.072766,0.884,0.001345,0.660,0.000020,0.475,0.000001,0.385
0,6,0.207626,0.931,0.004221,0.702,0.000344,0.562,0.001539,0.647
0,7,0.387818,0.966,0.009520,0.762,0.002680,0.661,0.073221,0.884
0,8,0.628391,0.988,0.017435,0.794,0.011978,0.764,0.368696,0.965
0,9,1.000000,0.989,0.027800,0.825,0.035807,0.823,1.000000,0.988
0,10,1.000000,0.994,0.040286,0.850,0.079973,0.876,1.000000,0.996
1,1,0.000000,0.194,0.000000,0.190,0.000000,0.135,0.000000,0.087
1,2,0.000022,0.400,0.000002,0.356,0.000000,0.247,0.000000,0.104
1,3,0.002034,0.692,0.000115,0.576,0.000001,0.389,0.000000,0.124
1,4,0.025810,0.876,0.001042,0.714,0.000089,0.548,0.000000,0.230
1,5,0.112731,0.951,0.004191,0.787,0.001573,0.679,0.000008,0.451
1,6,0.269451,0.984,0.010722,0.864,0.011330,0.816,0.004568,0.794
1,7,0.492556,0.994,0.020952,0.893,0.043691,0.890,0.112256,0.967
1,8,0.697568,0.995,0.034533,0.915,0.109720,0.951,0.467707,0.994
1,9,1.000000,0.999,0.050787,0.940,0.205585,0.973,1.000000,0.999
1,10,1.000000,0.999,0.069055,0.945,0.315483,0.990,1.000000,0.999
2,1,0.000000,0.009,0.000000,0.010,0.000000,0.009,0.000000,0.002
2,2,0.000000,0.037,0.000000,0.032,0.000000,0.017,0.000000,0.004
2,3,0.000145,0.143,0.000002,0.096,0.000000,0.037,0.000000,0.005
2,4,0.005705,0.395,0.000054,0.183,0.000000,0.084,0.000000,0.023
2,5,0.046550,0.635,0.000415,0.286,0.000000,0.146,0.000000,0.073
2,6,0.159288,0.806,0.001615,0.388,0.000001,0.238,0.000471,0.304
2,7,0.330925,0.893,0.004231,0.456,0.000015,0.353,0.046281,0.679
2,8,0.512877,0.939,0.008651,0.505,0.000152,0.460,0.310404,0.890
2,9,1.000000,0.965,0.015000,0.573,0.000917,0.565,1.000000,0.959
2,10,1.000000,0.984,0.023217,0.606,0.003734,0.666,1.000000,0.983
3,1,0.000000,0.014,0.000000,0.015,0.000000,0.005,0.000000,0.007
3,2,0.000000,0.048,0.000000,0.041,0.000000,0.021,0.000000,0.006
3,3,0.000166,0.170,0.000003,0.125,0.000000,0.031,0.000000,0.013
3,4,0.006171,0.431,0.000064,0.242,0.000000,0.058,0.000000,0.028
3,5,0.048723,0.652,0.000468,0.329,0.000000,0.101,0.000000,0.096
3,6,0.163644,0.825,0.001783,0.433,0.000005,0.181,0.000523,0.354
3,7,0.336302,0.912,0.004599,0.520,0.000080,0.282,0.048212,0.727
3,8,0.539071,0.953,0.009295,0.572,0.000671,0.411,0.315184,0.906
3,9,1.000000,0.967,0.015979,0.630,0.003410,0.517,1.000000,0.970
3,10,1.000000,0.979,0.024561,0.670,0.011873,0.639,1.000000,0.990
4,1,0.000000,0.009,0.000000,0.013,0.000000,0.006,0.000000,0.005
4,2,0.000000,0.030,0.000000,0.028,0.000000,0.014,0.000000,0.004
4,3,0.000000,0.118,0.000001,0.072,0.000000,0.024,0.000000,0.006
4,4,0.003477,0.328,0.000020,0.136,0.000000,0.047,0.000000,0.020
4,5,0.034919,0.553,0.000193,0.226,0.000000,0.088,0.000000,0.042
4,6,0.134389,0.763,0.000865,0.286,0.000000,0.148,0.000221,0.212
4,7,0.298972,0.871,0.002502,0.358,0.000000,0.219,0.034669,0.574
4,8,0.482510,0.925,0.005498,0.422,0.000000,0.308,0.278686,0.860
4,9,1.000000,0.957,0.010071,0.484,0.000004,0.404,0.765838,0.950
4,10,1.000000,0.976,0.016274,0.527,0.000029,0.500,1.000000,0.983
5,1,0.000000,0.281,0.000000,0.286,0.000000,0.292,0.000000,0.288
5,2,0.000000,0.361,0.000000,0.371,0.000000,0.327,0.000000,0.290
5,3,0.000144,0.500,0.000002,0.461,0.000000,0.353,0.000000,0.318
5,4,0.005691,0.693,0.000054,0.580,0.000000,0.420,0.000000,0.372
5,5,0.046488,0.853,0.000413,0.665,0.000000,0.458,0.000000,0.469
5,6,0.159166,0.941,0.001610,0.740,0.000000,0.528,0.000462,0.694
5,7,0.330777,0.968,0.004220,0.770,0.000005,0.591,0.045985,0.888
5,8,0.512738,0.982,0.008632,0.809,0.000054,0.652,0.309675,0.971
5,9,1.000000,0.993,0.014971,0.827,0.000367,0.693,1.000000,0.991
5,10,1.000000,0.996,0.023179,0.862,0.001674,0.752,1.000000,0.999
6,1,0.000000,0.004,0.000000,0.005,0.000000,0.003,0.000000,0.008
6,2,0.000000,0.015,0.000000,0.014,0.000000,0.005,0.000000,0.004
6,3,0.000133,0.095,0.000002,0.070,0.000000,0.009,0.000000,0.005
6,4,0.005445,0.339,0.000050,0.151,0.000000,0.017,0.000000,0.009
6,5,0.045301,0.570,0.000386,0.266,0.000000,0.052,0.000000,0.047
6,6,0.156736,0.752,0.001523,0.351,0.000001,0.101,0.000420,0.289
6,7,0.327739,0.870,0.004028,0.436,0.000026,0.191,0.044310,0.666
6,8,0.509896,0.915,0.008290,0.508,0.000256,0.338,0.305392,0.875
6,9,1.000000,0.960,0.014447,0.548,0.001459,0.446,1.000000,0.952
6,10,1.000000,0.979,0.022448,0.601,0.005583,0.558,1.000000,0.991
7,1,0.000002,0.477,0.000001,0.464,0.000000,0.373,0.000000,0.276
7,2,0.000527,0.715,0.000119,0.656,0.000017,0.529,0.000000,0.285
7,3,0.012099,0.881,0.001639,0.774,0.000847,0.692,0.000000,0.346
7,4,0.072648,0.944,0.007581,0.854,0.010985,0.831,0.000001,0.469
7,5,0.210642,0.971,0.020098,0.891,0.056394,0.908,0.000275,0.689
7,6,0.409508,0.989,0.038981,0.924,0.157761,0.958,0.021530,0.888
7,7,0.617644,0.994,0.062650,0.929,0.301174,0.980,0.210669,0.972
7,8,1.000000,0.997,0.090213,0.942,0.457878,0.990,0.589958,0.996
7,9,1.000000,0.997,0.119740,0.955,0.726681,0.995,1.000000,0.999
7,10,1.000000,0.999,0.148825,0.958,0.735884,0.997,1.000000,0.999
8,1,0.000000,0.008,0.000000,0.006,0.000000,0.004,0.000000,0.007
8,2,0.000000,0.014,0.000000,0.016,0.000000,0.005,0.000000,0.005
8,3,0.000095,0.060,0.000001,0.044,0.000000,0.009,0.000000,0.008
8,4,0.004497,0.249,0.000034,0.124,0.000000,0.010,0.000000,0.014
8,5,0.040527,0.524,0.000287,0.220,0.000000,0.027,0.000000,0.050
8,6,0.146740,0.719,0.001197,0.311,0.000000,0.050,0.000334,0.240
8,7,0.315079,0.833,0.003287,0.393,0.000009,0.112,0.040580,0.595
8,8,0.497963,0.901,0.006957,0.456,0.000103,0.196,0.295512,0.841
8,9,1.000000,0.944,0.012384,0.492,0.000688,0.285,1.000000,0.940
8,10,1.000000,0.970,0.019563,0.522,0.003025,0.395,1.000000,0.982
9,1,0.000000,0.008,0.000000,0.007,0.000000,0.005,0.000000,0.002
9,2,0.000000,0.024,0.000000,0.021,0.000000,0.010,0.000000,0.004
9,3,0.000181,0.103,0.000003,0.060,0.000000,0.025,0.000000,0.007
9,4,0.006469,0.326,0.000070,0.122,0.000000,0.052,0.000000,0.008
9,5,0.050092,0.590,0.000503,0.215,0.000000,0.100,0.000000,0.037
9,6,0.166366,0.788,0.001891,0.305,0.000002,0.171,0.000551,0.216
9,7,0.339647,0.884,0.004835,0.357,0.000035,0.283,0.049188,0.623
9,8,0.520966,0.946,0.009707,0.435,0.000314,0.406,0.317585,0.889
9,9,1.000000,0.971,0.016600,0.512,0.001719,0.566,1.000000,0.966
9,10,1.000000,0.985,0.025417,0.535,0.006432,0.674,1.000000,0.992
